epoch,time
0,17.913649559020996
1,12.522093772888184
2,12.459580659866333
3,12.453253030776978
4,12.528764247894287
5,12.45083475112915
6,12.44898772239685
7,12.413447618484497
8,12.47235655784607
9,12.680545806884766
10,12.425515413284302
11,12.397266149520874
12,12.267209529876709
13,12.503953695297241
14,12.430678606033325
15,12.372175216674805
16,12.136996984481812
17,12.223137378692627
18,12.13717532157898
19,12.585839986801147
20,12.567867755889893
21,13.426039695739746
22,12.714101076126099
23,12.14838981628418
24,12.243065595626831
25,12.351491689682007
26,13.491573333740234
27,12.119715690612793
28,11.66127061843872
29,12.191501379013062
30,12.061127662658691
31,12.12846565246582
32,12.351653337478638
33,12.111851930618286
34,12.219154834747314
35,12.2578866481781
36,12.312724828720093
37,12.167371273040771
38,12.236425638198853
39,12.134200811386108
40,12.232367038726807
41,12.292377710342407
42,12.793574094772339
43,12.196181058883667
44,12.094320058822632
45,12.20072865486145
46,12.151821374893188
47,12.458830118179321
48,12.242859601974487
49,12.29297924041748
50,12.345759868621826
51,12.422163248062134
52,12.331924438476562
53,12.320985794067383
54,12.35376787185669
55,12.337323188781738
56,12.634037256240845
57,12.31200623512268
58,12.30101490020752
59,12.754178524017334
60,12.391698598861694
61,12.250313997268677
62,12.36743712425232
63,12.320590257644653
64,12.340327501296997
65,12.342254400253296
66,12.327147960662842
67,12.061603307723999
68,12.134226560592651
69,12.097960233688354
70,12.161354541778564
71,12.082644939422607
72,12.068874597549438
73,12.483890295028687
74,11.994605302810669
75,11.905268430709839
76,12.057309627532959
77,12.0719313621521
78,12.401001214981079
79,12.08764386177063
