epoch,time
0,21.989229440689087
1,13.944006204605103
2,14.945329427719116
3,14.03064489364624
4,13.856850147247314
5,13.921698331832886
6,14.096727848052979
7,13.919016361236572
8,14.600312232971191
9,14.082317590713501
10,14.791250467300415
11,13.989039182662964
12,14.005633354187012
13,13.942955732345581
14,14.041919946670532
15,13.84100604057312
16,13.813201665878296
17,13.96351146697998
18,13.805853605270386
19,13.920863151550293
20,13.950794696807861
21,14.579246997833252
22,13.844549894332886
23,13.928137302398682
24,13.960012912750244
25,14.839230060577393
26,15.339492082595825
27,14.21119737625122
28,13.889177560806274
29,13.88334584236145
30,14.161983013153076
31,13.875638961791992
32,13.909390926361084
33,13.823424339294434
34,14.842719554901123
35,13.917582273483276
36,14.771745920181274
37,13.940209150314331
38,14.209065675735474
39,13.915555477142334
40,13.952050924301147
41,14.90669584274292
42,13.931555032730103
43,14.99350357055664
44,14.36098599433899
45,15.23768138885498
46,14.905208826065063
47,13.801432609558105
48,13.897923231124878
49,14.046135902404785
50,13.783716678619385
51,14.701848983764648
52,13.947749853134155
53,14.3952054977417
54,15.168856620788574
55,13.958014488220215
56,14.12558364868164
57,15.233755111694336
58,14.096705675125122
59,15.092041254043579
60,14.063394784927368
61,15.16178035736084
62,14.235471487045288
63,14.133819580078125
64,15.072492837905884
65,13.858829021453857
66,14.174934148788452
67,13.821433782577515
68,13.984513282775879
69,13.988827228546143
70,15.128645181655884
71,13.854584455490112
72,14.354564189910889
73,13.791348934173584
74,13.880983829498291
75,13.846477746963501
76,13.862280130386353
77,13.975117683410645
78,14.690397500991821
79,13.85500168800354
