epoch;accuracy;loss;val_accuracy;val_loss
0;0.2180493324995041;1.607673168182373;0.20687079429626465;1.6074336767196655
1;0.25952914357185364;1.5770061016082764;0.24271844327449799;1.596062183380127
2;0.3202541172504425;1.512742042541504;0.3584764897823334;1.4426313638687134
3;0.4022795259952545;1.3597643375396729;0.41150110960006714;1.3179001808166504
4;0.4798206388950348;1.195590615272522;0.3741598129272461;1.3882408142089844
5;0.5319506525993347;1.1060954332351685;0.5870051980018616;1.0236966609954834
6;0.5852017998695374;1.0035818815231323;0.6213592290878296;0.9608029127120972
7;0.6279895305633545;0.9326972961425781;0.6527259349822998;0.9103599786758423
8;0.6571375131607056;0.8782595992088318;0.6840925812721252;0.8199458122253418
9;0.6885276436805725;0.8212452530860901;0.687079906463623;0.8060562610626221
10;0.7040358781814575;0.7678219079971313;0.6788648366928101;0.8582819104194641
11;0.7331838607788086;0.7114257216453552;0.7050037384033203;0.7575038075447083
12;0.7447683215141296;0.6688740849494934;0.7438386678695679;0.6725547909736633
13;0.7658818960189819;0.6238697171211243;0.74607914686203;0.6681490540504456
14;0.7744768261909485;0.5983777046203613;0.7774458527565002;0.6099488735198975
15;0.789050817489624;0.5674632787704468;0.7729648947715759;0.6151933670043945
16;0.7985799908638;0.5340532660484314;0.7632561326026917;0.6688791513442993
17;0.798953652381897;0.5331164002418518;0.7572815418243408;0.6829412579536438
18;0.8148355484008789;0.49369746446609497;0.7625093460083008;0.6458674073219299
19;0.8279147744178772;0.4536706209182739;0.7669903039932251;0.6438448429107666
20;0.8301569223403931;0.45599400997161865;0.7901418805122375;0.5625358819961548
21;0.8335201740264893;0.44702252745628357;0.7669903039932251;0.6126185059547424
22;0.8404334783554077;0.4288019835948944;0.7864077687263489;0.5919016003608704
23;0.8447309136390686;0.41011694073677063;0.7841672897338867;0.6194867491722107
24;0.8518310785293579;0.4050946533679962;0.7983570098876953;0.5567229390144348
25;0.8585575222969055;0.3774864971637726;0.7901418805122375;0.6063944697380066
26;0.8697683215141296;0.3539993166923523;0.7901418805122375;0.6275606751441956
27;0.8559417128562927;0.38715657591819763;0.8110530376434326;0.5337332487106323
28;0.873131513595581;0.3412015438079834;0.7348767518997192;0.7374698519706726
29;0.8727578520774841;0.34342435002326965;0.8110530376434326;0.5288680791854858
30;0.8852765560150146;0.3275333344936371;0.8013442754745483;0.5542828440666199
31;0.8903213739395142;0.29929661750793457;0.8215085864067078;0.5391219258308411
32;0.8837817907333374;0.31334614753723145;0.8013442754745483;0.5999332666397095
33;0.886958122253418;0.3102967441082001;0.8110530376434326;0.5407039523124695
34;0.8981689214706421;0.2850092649459839;0.810306191444397;0.5730023980140686
35;0.8940582871437073;0.28429409861564636;0.8043316006660461;0.594917893409729
36;0.9048953652381897;0.2670951783657074;0.810306191444397;0.5295122861862183
37;0.902466356754303;0.2653619050979614;0.8177744746208191;0.5752378702163696
38;0.9009715914726257;0.260616272687912;0.8140403032302856;0.5374483466148376
39;0.9131165742874146;0.23935861885547638;0.8177744746208191;0.6252266764640808
40;0.9086322784423828;0.25296637415885925;0.8170276284217834;0.5362663269042969
41;0.917974591255188;0.23250435292720795;0.8065720796585083;0.6344708800315857
42;0.9136771559715271;0.24055537581443787;0.8125466704368591;0.6195276379585266
43;0.9190956354141235;0.22883330285549164;0.8028379678726196;0.6218622326850891
44;0.9202167391777039;0.21265515685081482;0.8095593452453613;0.6220621466636658
45;0.9252615571022034;0.21624810993671417;0.8170276284217834;0.6199091672897339
46;0.9237667918205261;0.2068173587322235;0.8252426981925964;0.5486005544662476
47;0.9192824959754944;0.23217816650867462;0.8207617402076721;0.5595489144325256
48;0.9280642867088318;0.2012476623058319;0.7946228384971619;0.6981757879257202
49;0.9261958003044128;0.20926040410995483;0.8088125586509705;0.6177152395248413
